frame,direction,steering,steering_smooth,stable_direction
358,NEUTRAL,0.0,-0.013302766001651697,NEUTRAL
359,NEUTRAL,0.0,-0.011972489401486527,NEUTRAL
360,NEUTRAL,0.0,-0.010775240461337874,NEUTRAL
361,NEUTRAL,0.0,-0.009697716415204087,NEUTRAL
362,NEUTRAL,0.0,-0.008727944773683678,NEUTRAL
363,NEUTRAL,0.0,-0.00785515029631531,NEUTRAL
364,NEUTRAL,0.0,-0.0070696352666837796,NEUTRAL
365,NEUTRAL,0.0,-0.006362671740015402,NEUTRAL
366,NEUTRAL,0.0,-0.005726404566013862,NEUTRAL
367,NEUTRAL,0.0,-0.0051537641094124755,NEUTRAL
368,NEUTRAL,0.0,-0.004638387698471228,NEUTRAL
369,RIGHT TURN,1.0,0.0958254510713759,NEUTRAL
370,RIGHT TURN,1.0,0.18624290596423831,NEUTRAL
371,RIGHT TURN,1.0,0.2676186153678145,RIGHT TURN
372,RIGHT TURN,1.0,0.3408567538310331,RIGHT TURN
373,RIGHT TURN,1.0,0.4067710784479298,RIGHT TURN
374,RIGHT TURN,1.0,0.46609397060313684,RIGHT TURN
375,RIGHT TURN,1.0,0.5194845735428232,RIGHT TURN
376,RIGHT TURN,1.0,0.5675361161885408,RIGHT TURN
377,RIGHT TURN,1.0,0.6107825045696867,RIGHT TURN
378,RIGHT TURN,1.0,0.649704254112718,RIGHT TURN
379,RIGHT TURN,1.0,0.6847338287014463,RIGHT TURN
380,RIGHT TURN,0.8,0.6962604458313018,RIGHT TURN
381,RIGHT TURN,0.6400000000000001,0.6906344012481717,RIGHT TURN
382,RIGHT TURN,1.0,0.7215709611233545,RIGHT TURN
383,RIGHT TURN,1.0,0.749413865011019,RIGHT TURN
384,RIGHT TURN,1.0,0.7744724785099171,RIGHT TURN
385,RIGHT TURN,1.0,0.7970252306589254,RIGHT TURN
386,RIGHT TURN,1.0,0.8173227075930328,RIGHT TURN
387,RIGHT TURN,1.0,0.8355904368337296,RIGHT TURN
388,RIGHT TURN,1.0,0.8520313931503566,RIGHT TURN
389,RIGHT TURN,1.0,0.8668282538353209,RIGHT TURN
390,RIGHT TURN,1.0,0.8801454284517888,RIGHT TURN
391,RIGHT TURN,0.8,0.8721308856066099,RIGHT TURN
392,RIGHT TURN,0.6400000000000001,0.8489177970459489,RIGHT TURN
393,RIGHT TURN,0.5120000000000001,0.8152260173413541,RIGHT TURN
394,RIGHT TURN,0.40960000000000013,0.7746634156072187,RIGHT TURN
395,RIGHT TURN,1.0,0.7971970740464969,RIGHT TURN
396,RIGHT TURN,1.0,0.8174773666418472,RIGHT TURN
397,RIGHT TURN,1.0,0.8357296299776625,RIGHT TURN
398,RIGHT TURN,1.0,0.8521566669798962,RIGHT TURN
399,RIGHT TURN,1.0,0.8669410002819066,RIGHT TURN
400,RIGHT TURN,1.0,0.8802469002537159,RIGHT TURN
401,RIGHT TURN,1.0,0.8922222102283442,RIGHT TURN
402,RIGHT TURN,1.0,0.9029999892055098,RIGHT TURN
403,RIGHT TURN,1.0,0.9126999902849589,RIGHT TURN
404,RIGHT TURN,1.0,0.921429991256463,RIGHT TURN
405,RIGHT TURN,1.0,0.9292869921308167,RIGHT TURN
406,RIGHT TURN,1.0,0.936358292917735,RIGHT TURN
407,RIGHT TURN,1.0,0.9427224636259615,RIGHT TURN
408,RIGHT TURN,1.0,0.9484502172633653,RIGHT TURN
409,RIGHT TURN,1.0,0.9536051955370288,RIGHT TURN
